Filename,Name,FullName,Neuroticism,Extraversion,Agreeableness,Conscientiousness,Openness,job,Cluster_KM_3,Cluster_HA,Cluster_HA_6,Cluster_DBSCAN,Cluster_GMM,Cluster_SC
122_펜싱구본길(체육).png,구본길,Koo Bon-gil,0.0,0.054,0.141,0.0,0.0,athlete,0,2,3,-1,0,0
91_유도김민종(체육).png,김민종,Kim Min-jong,0.0,0.002,0.143,0.0,0.001,athlete,0,2,3,0,3,0
64_사격금지현(체육).png,금지현,Geum Ji-hyeon,0.007,0.023,0.101,0.003,0.0,athlete,0,2,3,-1,0,0
78_양궁김우진(체육).png,김우진,Kim Woo-jin,0.0,0.0,0.236,0.0,0.008,athlete,0,2,3,0,3,0
79_양궁김제덕(체육).png,김제덕,Kim Je-deok,0.0,0.0,0.267,0.0,0.0,athlete,0,2,3,0,3,0
92_유도김하윤(체육).png,김하윤,Kim Ha-yun,0.001,0.056,0.156,0.0,0.0,athlete,0,2,3,-1,0,0
77_양궁김수현(체육).png,김수현arrow,Kim Soo-hyeon Arrow,0.032,0.01,0.37,0.0,0.004,athlete,0,2,4,0,0,3
61_배드민턴안세영(체육).png,안세영,Ahn Se-young,0.0,0.0,0.032,0.0,0.001,athlete,0,2,3,0,3,0
123_펜싱오상욱(체육).png,오상욱,Oh Sang-wook,0.0,0.002,0.602,0.0,0.001,athlete,0,2,4,0,3,2
85_역도박혜정(체육).png,박혜정,Park Hye-jeong,0.001,0.0,0.456,0.0,0.0,athlete,0,2,4,0,3,3
118_축구손흥민(체육).png,손흥민,Son Heung-min,0.001,0.013,0.712,0.01,0.03,athlete,0,2,4,-1,3,1
114_차은우(아이돌).png,차은우,Cha Eun-woo,0.0,0.008,0.225,0.0,0.0,idol(singer),0,2,3,0,3,0
36_SK최태원(기업인).png,최태원,Choi Tae-won,0.0,0.0,0.661,0.0,0.0,entrepreneur,0,2,4,0,3,2
66_삼성이재용(기업인).png,이재용,Lee Jae-yong,0.053,0.001,0.921,0.0,0.0,entrepreneur,0,2,4,0,0,1
35_LG구광모(기업인).png,구광모,Koo Kwang-mo,0.003,0.0,0.519,0.0,0.002,entrepreneur,0,2,4,0,3,2
125_한화김승연(기업인).png,김승연,Kim Seung-yeon,0.002,0.0,0.178,0.0,0.024,entrepreneur,0,2,3,0,3,0
52_롯데신동빈(기업인).png,신동빈,Shin Dong-bin,0.277,0.036,0.319,0.0,0.005,entrepreneur,0,3,6,-1,0,1
34_GS허창수(기업인).png,허창수,Heo Chang-soo,0.002,0.002,0.906,0.0,0.0,entrepreneur,0,2,4,0,3,1
126_현대정의선(기업인).png,정의선,Jeong Eui-sun,0.002,0.001,0.155,0.0,0.005,entrepreneur,0,2,3,0,3,0
74_신세계정용진(기업인).png,정용진,Jeong Yong-jin,0.095,0.003,0.565,0.0,0.224,entrepreneur,2,3,5,-1,1,0
100_이재명(정치).png,이재명,Lee Jae-myung,0.001,0.0,0.771,0.001,0.0,politician,0,2,4,0,3,1
124_한동훈(정치).png,한동훈,Han Dong-hoon,0.127,0.001,0.93,0.0,0.005,politician,0,2,4,-1,0,1
